id_laporan;nama_skpd;kategori;rincian_masalah;status;tanggal_masuk;tanggal_selesai;selisih_hari
QL001230173;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-09;2019-02-09;0
QL001230169;KELURAHAN DURI KEPA;Saluran air/kali/sungai;"got kotor""";complete;2019-02-09;2019-02-11;2
QL001230074;KELURAHAN DURI KOSAMBI;Gangguan ketenteraman dan ketertiban;"corli""";complete;2019-02-08;2019-02-08;0
QL001229830;KELURAHAN ANGKE;Sampah;Sampah Lingkungan;complete;2019-02-08;2019-02-08;0
QL001229879;KELURAHAN MANGGA BESAR;Sampah;Sampah Got;complete;2019-02-08;2019-02-08;0
QL001229880;KELURAHAN MANGGA BESAR;Sampah;"Batang pohon sudah di angkat.. """;complete;2019-02-08;2019-02-08;0
QL001229876;KELURAHAN SLIPI;Saluran air/kali/sungai;;wait;2019-02-08;;0
QL001229875;KELURAHAN SLIPI;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-08;2019-02-08;0
QL001229874;KELURAHAN SLIPI;Saluran air/kali/sungai;;wait;2019-02-08;;0
QL001229869;KELURAHAN SLIPI;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-08;2019-02-08;0
QL001229868;KELURAHAN SLIPI;Saluran air/kali/sungai;;wait;2019-02-08;;0
QL001229858;KELURAHAN PINANGSIA;Sampah;Sampah Trotoar;complete;2019-02-08;2019-02-08;0
QL001229857;KELURAHAN PINANGSIA;Sampah;Sampah Trotoar;complete;2019-02-08;2019-02-08;0
QL001229856;KELURAHAN PINANGSIA;Sampah;Sampah Trotoar;complete;2019-02-08;2019-02-08;0
QL001229829;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-08;2019-02-08;0
QL001229826;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-08;2019-02-08;0
QL001229793;KELURAHAN SLIPI;Gangguan ketenteraman dan ketertiban;"coretan liar""";complete;2019-02-08;2019-02-08;0
QL001229816;KELURAHAN PINANGSIA;Sampah;Sampah Trotoar;complete;2019-02-08;2019-02-08;0
QL001229805;KELURAHAN MERUYA UTARA;Jembatan Penyeberangan Orang (JPO) dan/atau halte;"portal jalan""";complete;2019-02-08;2019-02-11;3
QL001229798;KELURAHAN SLIPI;Sampah;Sampah Got;complete;2019-02-08;2019-02-08;0
QL001229794;KELURAHAN SLIPI;Gangguan ketenteraman dan ketertiban;"coretan liar""";complete;2019-02-08;2019-02-08;0
